Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
59	:	1681689331.666	     6.132	0	0	0	0	mkdir -p ./output/output_y0_0.02_z0_0.14 &&          ./mzasolve 0.02 0.14 ./output/output_y0_0.02_z0_0.14/timeseries_y0_0.02_z0_0.14.nc > ./output/output_y0_0.02_z0_0.14/output_y0_0.02_z0_0.14.txt
60	:	1681689331.852	     5.984	0	0	0	0	mkdir -p ./output/output_y0_0.02_z0_0.16 &&          ./mzasolve 0.02 0.16 ./output/output_y0_0.02_z0_0.16/timeseries_y0_0.02_z0_0.16.nc > ./output/output_y0_0.02_z0_0.16/output_y0_0.02_z0_0.16.txt
61	:	1681689331.895	     5.982	0	0	0	0	mkdir -p ./output/output_y0_0.02_z0_0.18 &&          ./mzasolve 0.02 0.18 ./output/output_y0_0.02_z0_0.18/timeseries_y0_0.02_z0_0.18.nc > ./output/output_y0_0.02_z0_0.18/output_y0_0.02_z0_0.18.txt
62	:	1681689331.930	     6.024	0	0	0	0	mkdir -p ./output/output_y0_0.02_z0_0.20 &&          ./mzasolve 0.02 0.20 ./output/output_y0_0.02_z0_0.20/timeseries_y0_0.02_z0_0.20.nc > ./output/output_y0_0.02_z0_0.20/output_y0_0.02_z0_0.20.txt
63	:	1681689332.025	     6.006	0	0	0	0	mkdir -p ./output/output_y0_0.02_z0_0.22 &&          ./mzasolve 0.02 0.22 ./output/output_y0_0.02_z0_0.22/timeseries_y0_0.02_z0_0.22.nc > ./output/output_y0_0.02_z0_0.22/output_y0_0.02_z0_0.22.txt
64	:	1681689332.136	     5.917	0	0	0	0	mkdir -p ./output/output_y0_0.02_z0_0.24 &&          ./mzasolve 0.02 0.24 ./output/output_y0_0.02_z0_0.24/timeseries_y0_0.02_z0_0.24.nc > ./output/output_y0_0.02_z0_0.24/output_y0_0.02_z0_0.24.txt
65	:	1681689332.766	     5.325	0	0	0	0	mkdir -p ./output/output_y0_0.02_z0_0.26 &&          ./mzasolve 0.02 0.26 ./output/output_y0_0.02_z0_0.26/timeseries_y0_0.02_z0_0.26.nc > ./output/output_y0_0.02_z0_0.26/output_y0_0.02_z0_0.26.txt
67	:	1681689332.939	     5.180	0	0	0	0	mkdir -p ./output/output_y0_0.02_z0_0.30 &&          ./mzasolve 0.02 0.30 ./output/output_y0_0.02_z0_0.30/timeseries_y0_0.02_z0_0.30.nc > ./output/output_y0_0.02_z0_0.30/output_y0_0.02_z0_0.30.txt
68	:	1681689333.756	     4.734	0	0	0	0	mkdir -p ./output/output_y0_0.02_z0_0.32 &&          ./mzasolve 0.02 0.32 ./output/output_y0_0.02_z0_0.32/timeseries_y0_0.02_z0_0.32.nc > ./output/output_y0_0.02_z0_0.32/output_y0_0.02_z0_0.32.txt
69	:	1681689335.454	     4.861	0	0	0	0	mkdir -p ./output/output_y0_0.02_z0_0.34 &&          ./mzasolve 0.02 0.34 ./output/output_y0_0.02_z0_0.34/timeseries_y0_0.02_z0_0.34.nc > ./output/output_y0_0.02_z0_0.34/output_y0_0.02_z0_0.34.txt
70	:	1681689335.698	     4.861	0	0	0	0	mkdir -p ./output/output_y0_0.02_z0_0.36 &&          ./mzasolve 0.02 0.36 ./output/output_y0_0.02_z0_0.36/timeseries_y0_0.02_z0_0.36.nc > ./output/output_y0_0.02_z0_0.36/output_y0_0.02_z0_0.36.txt
71	:	1681689335.865	     4.789	0	0	0	0	mkdir -p ./output/output_y0_0.02_z0_0.38 &&          ./mzasolve 0.02 0.38 ./output/output_y0_0.02_z0_0.38/timeseries_y0_0.02_z0_0.38.nc > ./output/output_y0_0.02_z0_0.38/output_y0_0.02_z0_0.38.txt
75	:	1681689337.798	     4.340	0	0	0	0	mkdir -p ./output/output_y0_0.02_z0_0.46 &&          ./mzasolve 0.02 0.46 ./output/output_y0_0.02_z0_0.46/timeseries_y0_0.02_z0_0.46.nc > ./output/output_y0_0.02_z0_0.46/output_y0_0.02_z0_0.46.txt
76	:	1681689337.836	     4.332	0	0	0	0	mkdir -p ./output/output_y0_0.02_z0_0.48 &&          ./mzasolve 0.02 0.48 ./output/output_y0_0.02_z0_0.48/timeseries_y0_0.02_z0_0.48.nc > ./output/output_y0_0.02_z0_0.48/output_y0_0.02_z0_0.48.txt
77	:	1681689337.877	     4.361	0	0	0	0	mkdir -p ./output/output_y0_0.02_z0_0.50 &&          ./mzasolve 0.02 0.50 ./output/output_y0_0.02_z0_0.50/timeseries_y0_0.02_z0_0.50.nc > ./output/output_y0_0.02_z0_0.50/output_y0_0.02_z0_0.50.txt
72	:	1681689335.964	     6.370	0	0	0	0	mkdir -p ./output/output_y0_0.02_z0_0.40 &&          ./mzasolve 0.02 0.40 ./output/output_y0_0.02_z0_0.40/timeseries_y0_0.02_z0_0.40.nc > ./output/output_y0_0.02_z0_0.40/output_y0_0.02_z0_0.40.txt
